Model,autonomy_coef,autonomy_se,autonomy_p,autonomy_ci_low,autonomy_ci_high,collective_coef,collective_se,collective_p,collective_ci_low,collective_ci_high,equity_coef,equity_se,equity_p,equity_ci_low,equity_ci_high,R2,Adj_R2,N
GPT-4.1,8.662639737225495,0.3830571646055345,9.203531442422425e-78,7.909975448844342,9.415304025606648,-6.921490483687403,0.38705433889413404,2.9583238856620664e-55,-7.682008770425597,-6.16097219694921,8.794148491668507,0.38714744272329116,3.0366485660661712e-78,8.033447266367109,9.554849716969905,0.913012562671745,0.9077897144677711,513
Llama 3.1 70B Instruct,10.074074074074064,0.9777917090402951,9.772940435453935e-23,8.15306972301209,11.995078425136038,-1.7777777777777786,0.9777917090402951,0.06962795111072792,-3.6987821288397527,0.14322657328419575,9.364124909222943,0.9797070717163111,5.0935816246275016e-20,7.43935756855851,11.288892249887375,0.5508386521499802,0.5252479270268946,539
Mistral Large,3.2592592592592746,0.462511035777158,5.964795667413352e-12,2.350597883048123,4.167920635470426,-20.37037037037038,0.4625110357771581,6.326416587663082e-176,-21.279031746581534,-19.461708994159228,2.2592592592592577,0.46251103577715774,1.3882812417224453e-06,1.3505978830481067,3.167920635470409,0.9025975179096407,0.8970589453986203,540
Pooled,7.340241611083407,0.4622326921526525,9.40205309126003e-53,6.433578734475825,8.246904487690989,-9.731215604788686,0.46373564166856746,2.5604509626947792e-86,-10.6408264955775,-8.821604713999871,6.769132829520501,0.4640427295763339,2.80702615211527e-45,5.858919590151515,7.679346068889487,0.6821485260562166,0.675832246766308,1592
